"id","category","question","answer","keywords","location","price_krw","available_hours","visibility","notes"
"GH-019","음주","23시 이후에 술을 마실 수 있나요?","23:00 이후에는 버킷게스트하우스 내 모든 장소에서 음주할 수 없습니다.","음주,술,금지,23시,야간","숙소 전 구역","","23:00 이후 금지","공개",""
"GH-020","객실 규칙","객실에서 음식을 먹을 수 있나요?","객실에서는 커피와 물만 섭취할 수 있습니다. 과자, 단백질바, 빵 등 음식 섭취는 금지됩니다.","객실,음식,과자,빵,단백질바,커피,물","각 객실","","","공개","커피와 물만 허용"
"GH-021","퇴실","퇴실할 때 에어컨은 어떻게 해야 하나요?","퇴실할 때 객실 에어컨을 반드시 꺼 주세요.","퇴실,체크아웃,에어컨,전원","각 객실","","","공개",""
"GH-022","욕실용품","샴푸와 바디워시가 제공되나요?","샴푸와 바디워시는 기본 제공됩니다. 수건은 제공되지 않으므로 개인 수건을 지참하거나 구매해 주세요.","샴푸,바디워시,수건,어메니티","욕실","","","공개",""
"GH-023","객실 비품","드라이기가 있나요?","각 객실에 공용 드라이기가 구비되어 있습니다.","드라이기,헤어드라이어,객실비품","각 객실","","","공개",""
"GH-024","공용공간","도서, 다트, 보드게임을 이용할 수 있나요?","1층 거실의 도서, 다트, 보드게임은 자유롭게 이용할 수 있습니다. 사용 후 정리해 제자리에 두어야 합니다.","도서,다트,보드게임,놀이","1층 거실","","07:00-23:00","공개","사용 후 원위치"
"GH-025","세탁","세탁물은 어디에서 말리나요?","세탁 후 세탁물은 외부 테라스 오른쪽 건조대에서 바로 건조하고, 바람에 날리지 않도록 집게로 고정해 주세요. 세탁물 분실에 대해서는 숙소가 책임지지 않습니다.","세탁물,건조대,집게,분실","외부 테라스 오른쪽","","07:00-23:00","공개","분실 책임 없음"
"GH-026","편의시설","전자레인지는 어디에서 사용할 수 있나요?","전자레인지는 1층 거실에서 사용할 수 있습니다.","전자레인지,데우기,거실","1층 거실","","07:00-23:00","공개",""
"GH-027","분실물","23시 이후 분실물은 어디에서 찾을 수 있나요?","23:00 이후 수거된 분실물은 프런트(리셉션) 앞 로스트함에서 찾을 수 있습니다.","분실물,로스트함,프런트,리셉션,23시","프런트(리셉션) 앞 로스트함","","23:00 이후","공개",""
"GH-028","분실물","분실한 식품도 냉장 보관되나요?","분실 식품은 별도로 냉장 보관하지 않고 다른 분실물과 함께 로스트함으로 이동합니다. 변질이나 폐기를 막기 위해 식품과 개인 물품을 직접 잘 관리해 주세요.","식품,분실물,냉장보관,로스트함,주의","프런트(리셉션) 앞 로스트함","","23:00 이후","공개","식품 별도 냉장보관 없음"
"GH-029","응급용품","응급약품이 구비되어 있나요?","급한 상황에 대처할 수 있도록 밴드, 마데카솔, 후시딘, 두통약, 생리통약, 생리대, 감기약 등의 기본 응급용품이 구비되어 있습니다. 품목별 재고에 따라 일부 약품은 없을 수 있습니다.","응급약품,구급함,밴드,마데카솔,후시딘,두통약,생리통약,생리대,감기약","프런트 문의","","","공개","재고에 따라 일부 품목 미구비 가능"
